objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
easthants001,shubenacadiebankrobbery.jpg,,,1932 Shubenacadie bank robbery,Unknown,1932,Photograph of the aftermath of the robbery at the Royal Bank of Canada branch in Shubenacadie in 1932,universities;buildings;campuses;picture postcards,"Shubenacadie, Nova Scotia",,,,shubenacadiebankrobbery,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
easthants002,anniehennigar.jpg,,,Annie Hennigar,Unknown,1916,"Portrait of Dr. Annie Hennigar, travelling physician",Annie Hennigar;women,Unknown,,,,anniehennigar,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
easthants003,,,,,,,,,,,,,,,,,,
easthants004,,,,,,,,,,,,,,,,,,
easthants005,,,,,,,,,,,,,,,,,,
easthants006,,,,,,,,,,,,,,,,,,
easthants007,,,,,,,,,,,,,,,,,,
easthants008,,,,,,,,,,,,,,,,,,
easthants009,,,,,,,,,,,,,,,,,,
easthants010,,,,,,,,,,,,,,,,,,
easthants011,,,,,,,,,,,,,,,,,,
easthants012,,,,,,,,,,,,,,,,,,
easthants013,,,,,,,,,,,,,,,,,,
